
#DIST_PS
bin_start	bin_end	count	count_per_bp	count_fraction
125	157	33730	1022.12	0.00508963
158	198	25936	632.585	0.00391357
199	250	26643	512.365	0.00402025
251	315	29831	458.938	0.00450129
316	397	39340	479.756	0.00593614
398	500	50849	493.68	0.00767277
501	629	65443	507.31	0.0098749
630	793	76625	467.226	0.0115622
794	999	88857	431.345	0.0134079
1000	1257	100204	388.388	0.0151201
1258	1583	114839	352.267	0.0173284
1584	1994	129768	315.737	0.0195811
1995	2510	142195	275.572	0.0214563
2511	3161	154021	236.591	0.0232407
3162	3980	163925	200.153	0.0247352
3981	5010	169800	164.854	0.0256217
5011	6308	170368	131.254	0.0257074
6309	7942	167624	102.585	0.0252933
7943	9999	163171	79.3247	0.0246214
10000	12588	159290	61.5257	0.0240358
12589	15847	155871	47.8279	0.0235199
15848	19951	156714	38.1857	0.0236471
19952	25117	158289	30.6405	0.0238847
25118	31621	160861	24.7326	0.0242728
31622	39809	164167	20.0497	0.0247717
39810	50117	166489	16.1514	0.0251221
50118	63094	169092	13.0301	0.0255148
63095	79431	170641	10.4451	0.0257486
79432	99999	173317	8.42654	0.0261524
100000	125891	172598	6.66607	0.0260439
125892	158488	171899	5.27346	0.0259384
158489	199525	166159	4.049	0.0250723
199526	251187	162203	3.1397	0.0244753
251188	316226	156006	2.39865	0.0235402
316227	398106	147842	1.80559	0.0223084
398107	501186	139249	1.35088	0.0210117
501187	630956	131359	1.01224	0.0198212
630957	794327	123331	0.754914	0.0186098
794328	999999	117088	0.569295	0.0176678
1000000	1258924	112261	0.433566	0.0169394
1258925	1584892	108374	0.332468	0.0163529
1584893	1995261	106458	0.25942	0.0160638
1995262	2511885	104945	0.203136	0.0158355
2511886	3162276	107246	0.164895	0.0161827
3162277	3981070	109027	0.133156	0.0164514
3981071	5011871	108832	0.10558	0.016422
5011872	6309572	107183	0.0825945	0.0161732
6309573	7943281	102329	0.062636	0.0154407
7943282	9999999	90781	0.0441388	0.0136982
10000000	12589253	76575	0.0295742	0.0115546
12589254	15848930	55777	0.0171112	0.00841637
15848931	19952622	35277	0.00859641	0.00532306
19952623	25118863	17982	0.00348067	0.00271336
25118864	31622775	12604	0.00193791	0.00190186
31622776	39810716	5779	0.000705794	0.000872012
39810717	50118722	241	2.33799e-05	3.63653e-05

#DIST_RR
bin_start	bin_end	count	count_per_bp	count_fraction
1	1	106	106	1.31861e-05
1	1	97	97	1.20665e-05
2	2	79	79	9.82734e-06
3	4	166	83	2.06499e-05
5	5	91	91	1.13201e-05
6	6	67	67	8.33458e-06
7	9	166	55.3333	2.06499e-05
10	11	212	106	2.63721e-05
12	14	198	66	2.46306e-05
15	18	274	68.5	3.40847e-05
19	24	435	72.5	5.41126e-05
25	30	449	74.8333	5.58541e-05
31	38	648	81	8.06091e-05
39	49	909	82.6364	0.000113077
50	62	1268	97.5385	0.000157735
63	78	1726	107.875	0.000214709
79	99	2534	120.667	0.000315221
100	124	4690	187.6	0.000583421
125	157	31338	949.636	0.00389835
158	198	29527	720.171	0.00367306
199	250	37270	716.731	0.00463627
251	315	47823	735.738	0.00594903
316	397	61760	753.171	0.00768274
398	500	73661	715.155	0.00916319
501	629	90033	697.93	0.0111998
630	793	105744	644.78	0.0131542
794	999	122380	594.078	0.0152237
1000	1257	138317	536.112	0.0172062
1258	1583	156537	480.175	0.0194727
1584	1994	175645	427.36	0.0218497
1995	2510	193459	374.921	0.0240657
2511	3161	209817	322.3	0.0261006
3162	3980	222418	271.573	0.0276681
3981	5010	226719	220.116	0.0282031
5011	6308	226945	174.842	0.0282312
6309	7942	219147	134.117	0.0272612
7943	9999	210609	102.386	0.0261991
10000	12588	202396	78.1754	0.0251774
12589	15847	197076	60.4713	0.0245156
15848	19951	194790	47.4635	0.0242312
19952	25117	196015	37.9433	0.0243836
25118	31621	197704	30.3973	0.0245937
31622	39809	201298	24.5845	0.0250408
39810	50117	204720	19.8603	0.0254665
50118	63094	207994	16.0279	0.0258738
63095	79431	210617	12.892	0.0262001
79432	99999	212698	10.3412	0.0264589
100000	125891	212117	8.19238	0.0263867
125892	158488	210005	6.44246	0.0261239
158489	199525	206027	5.02052	0.0256291
199526	251187	200272	3.87658	0.0249132
251188	316226	192156	2.95447	0.0239036
316227	398106	184053	2.24784	0.0228956
398107	501186	173730	1.68539	0.0216115
501187	630956	163556	1.26035	0.0203458
630957	794327	153718	0.940914	0.019122
794328	999999	145548	0.70767	0.0181057
1000000	1258924	140163	0.541327	0.0174358
1258925	1584892	134637	0.413037	0.0167484
1584893	1995261	132421	0.322688	0.0164727
1995262	2511885	131281	0.254113	0.0163309
2511886	3162276	134126	0.206224	0.0166848
3162277	3981070	136440	0.166635	0.0169727
3981071	5011871	136215	0.132145	0.0169447
5011872	6309572	134026	0.10328	0.0166724
6309573	7943281	128286	0.0785244	0.0159584
7943282	9999999	114576	0.0557082	0.0142529
10000000	12589253	95311	0.0368102	0.0118564
12589254	15848930	71005	0.0217828	0.00883279
15848931	19952622	44437	0.0108285	0.00552782
19952623	25118863	22607	0.00437591	0.00281224
25118864	31622775	15830	0.00243392	0.0019692
31622776	39810716	7380	0.000901325	0.000918048
39810717	50118722	299	2.90066e-05	3.71946e-05

#PAIR_TYPES
run	UU	RU	UR	WW	DD	MU	MR	MM	NM	NU	NR	NN	pUU	pRU	pUR	pWW	pDD	pMU	pMR	pMM	pNM	pNU	pNR	pNN
run1	107494650	11404173	10749709	38298304	97024487	36753802	6915205	27796141	863362	2065239	223187	2020260	31.4672	3.33837	3.14679	11.2112	28.4022	10.759	2.02431	8.13684	0.252734	0.604563	0.0653341	0.591396

#STRAND_ORIENTATION_BY_DISTANCE
run	distance_bin	FF	FR	RF	RR	total	pFF	pFR	pRF	pRR
run1	<100bp	3015	3843855	426336	9583	4282789	0.0703981	89.7512	9.95463	0.223756
run1	100-500bp	153286	55118945	228750	284625	55785606	0.274777	98.805	0.410052	0.510212
run1	0.5-1Kb	178790	8603161	231550	319021	9332522	1.91577	92.1847	2.48111	3.41838
run1	1-2Kb	269523	773459	346350	472679	1862011	14.4748	41.5389	18.6009	25.3854
run1	2-5Kb	489997	871188	627052	848442	2836679	17.2736	30.7115	22.1051	29.9097
run1	5-10Kb	386002	587763	502915	659072	2135752	18.0734	27.5202	23.5474	30.859
run1	10-15Kb	207324	299318	278001	352663	1137306	18.2294	26.3182	24.4438	31.0086
run1	15-20Kb	144390	204332	195562	243614	787898	18.326	25.9338	24.8207	30.9195
run1	>20Kb	2882821	3931564	3910573	4849253	15574211	18.5102	25.2441	25.1093	31.1364
run1	combined	4715148	74233585	6747089	8038952	93734774	5.03031	79.1954	7.19806	8.57628
